Node,SIR
4096,556.29
4589,520.114
4318,621.672
3999,524.31
4097,598.003
4593,620.788
4334,622.131
4335,619.086
4098,611.625
4328,621.275
4565,619.973
4014,412.916
4254,601.515
4331,609.945
4099,1.676
4204,1.693
4101,546.3
4558,612.017
4604,613.188
4102,580.025
4007,583.684
4094,578.989
4607,591.209
4449,541.757
4103,614.347
4314,613.962
4606,609.302
4088,618.668
4089,616.998
4104,612.031
4372,563.146
4197,614.728
4468,589.155
4105,501.57
4106,347.743
4293,522.66
4122,582.138
4107,622.267
4022,620.937
4361,622.159
4371,615.262
4121,599.289
4109,428.459
4320,586.57
4369,619.044
4108,535.727
4126,622.255
4597,586.059
4110,297.984
4326,287.391
4586,358.74
4111,589.589
4661,621.349
4050,621.867
4112,533.517
4400,604.212
4113,480.165
4013,440.269
4395,459.48
4573,621.396
4114,593.482
3929,608.404
4148,510.611
4542,541.908
4684,587.722
4115,621.099
4507,588.773
4077,610.77
4054,622.092
4134,621.223
4116,429.766
4362,465.02
4437,451.458
4117,538.376
4053,593.145
4055,615.33
4118,618.267
4338,622.221
4352,619.268
4376,556.271
4119,589.771
4035,621.996
4434,534.097
4120,621.254
4070,618.765
4071,613.468
4263,618.536
4356,622.307
4364,616.445
4201,604.409
4296,607.651
3948,530.691
4010,616.889
4308,539.196
4123,407.571
4433,600.73
4124,467.843
4048,465.856
4452,564.26
4125,413.926
4127,280.414
4377,622.036
4472,620.158
4370,609.075
4128,614.445
4378,554.317
4577,622.221
4625,549.45
4470,601.927
4129,396.193
4130,417.437
4131,608.967
3994,590.359
4137,617.035
4652,619.038
4476,593.323
4132,548.57
4648,615.141
4133,417.212
4174,621.493
3928,614.963
3931,619.549
4073,604.701
4478,622.411
4467,598.578
4251,598.006
4135,385.877
3992,561.438
3976,612.091
4138,611.288
4440,585.725
4373,602.902
4260,587.542
4357,591.781
4358,536.503
4359,575.534
4439,579.146
4598,542.85
4139,545.763
4592,607.266
4596,609.07
4140,397.595
3968,402.329
4450,383.892
4329,388.11
4451,386.85
4529,342.479
4141,620.815
4033,621.954
4295,621.744
4142,622.368
4173,622.452
4351,559.077
4497,553.543
4530,603.18
4264,613.524
4499,622.131
4502,590.797
4509,622.124
4522,546.653
4531,610.954
4559,607.079
4633,620.698
4143,621.76
4144,615.444
4161,586.564
4162,620.882
4333,609.898
4336,616.26
4480,604.352
4485,608.218
4487,620.659
4540,428.18
4679,573.266
4327,609.507
4145,621.163
4006,617.85
4175,596.189
4146,421.974
4325,618.941
4534,617.824
4147,359.168
4527,528.102
4303,561.882
4149,562.771
4391,622.023
4018,369.806
4347,621.684
4150,589.51
3970,610.595
4046,611.696
4287,583.038
4151,439.62
4153,620.075
4152,405.002
3953,620.179
3974,573.485
3980,600.202
4330,619.246
4250,583.988
4569,439.275
4154,347.884
4632,238.174
4262,240.285
4432,507.815
4156,577.966
3932,542.085
4023,613.384
4253,598.193
4157,593.852
4447,609.205
4158,566.716
4159,601.541
4473,532.263
4160,595.837
4671,581.728
4462,607.105
4163,600.357
4483,612.802
4164,593.359
