Node,SIR
2048,438.245
1843,486.868
1889,510.254
1891,474.026
2049,217.448
2050,258.548
2147,127.661
2108,515.347
2051,483.823
1777,507.443
1946,428.991
1754,432.514
1864,439.687
2154,516.582
2207,543.037
2053,233.345
2125,491.755
2054,225.422
2279,476.342
2055,504.287
1606,543.711
1873,503.285
2072,510.898
2242,335.06
2056,527.008
1552,524.293
1637,529.614
1912,484.016
1961,524.928
2021,513.254
2309,521.466
2322,484.388
2057,519.871
1783,502.589
2014,516.67
2028,529.79
2349,529.725
1962,518.11
2146,516.106
2058,322.315
1610,289.282
2008,480.838
1887,228.847
2059,338.326
2060,400.495
2284,521.812
2061,469.615
2149,406.116
2157,497.326
2111,469.247
2083,504.959
2062,228.684
2343,470.133
2063,321.226
2261,300.772
2065,437.185
1616,302.652
1617,277.304
1618,420.894
1620,291.759
1699,505.78
1911,280.88
1959,403.597
1964,328.733
1972,406.166
2066,276.979
2223,525.94
2067,84.292
1817,168.769
2068,456.751
1635,229.793
1655,397.197
1764,512.346
1765,465.403
1766,402.017
1872,379.187
2069,528.139
1674,393.448
1773,541.271
1774,521.067
1842,427.057
2127,457.093
2308,524.042
2070,367.801
1788,510.366
2071,425.785
1571,437.498
1609,425.141
1658,417.3
1997,375.794
1998,371.668
2176,426.936
2325,200.724
1688,257.33
1779,528.104
2030,506.989
2031,499.643
2032,538.065
2073,268.254
2074,250.866
2075,436.856
1970,444.457
2038,451.798
2076,368.342
2080,528.673
2077,483.748
1793,498.937
1807,374.948
1559,520.772
2330,495.7
1708,488.508
2078,387.832
1652,335.244
1653,408.351
1575,393.917
1561,429.923
2079,510.079
1953,480.433
1955,500.961
2212,344.971
1993,519.855
1650,506.641
1847,424.827
2027,490.781
2213,498.952
2214,490.683
2081,471.807
1980,311.314
1985,544.42
2082,314.615
2192,361.534
1580,155.059
1682,459.108
1686,260.205
2086,509.606
2219,509.148
2336,433.477
2084,492.092
1605,538.625
1685,529.189
2085,525.96
2105,543.939
1762,466.172
2299,481.444
1611,522.722
2090,437.993
2087,389.998
1662,435.935
2088,317.257
1599,432.509
2089,218.75
2091,514.852
2141,417.041
1821,524.922
2092,444.144
2208,541.45
1810,542.758
2096,422.647
2282,254.43
2093,363.626
2338,442.905
2094,473.154
1633,506.229
1702,379.603
1703,512.59
2095,470.689
1631,496.849
2097,245.438
2329,506.817
2098,472.868
1626,224.484
1627,409.56
1914,387.095
1930,519.155
2034,384.427
2302,486.116
2099,522.392
1725,513.652
1726,418.047
1865,487.743
1866,507.353
2019,359.145
2100,523.939
2193,435.808
1850,531.521
2109,487.465
2233,513.341
2101,500.433
1745,340.924
1995,389.68
2036,470.547
2221,481.489
2220,492.07
2040,524.431
2102,470.968
1957,388.546
2204,443.064
2145,445.065
2158,509.194
2103,356.887
1663,347.253
2104,308.769
1987,541.722
2317,428.873
1548,450.651
1576,268.557
1591,412.561
1594,462.488
1603,437.673
1604,495.819
1678,490.778
1806,524.729
1945,482.047
2307,490.381
2106,269.302
2273,358.919
2107,130.791
1573,428.031
1614,487.951
2277,452.268
2172,373.631
2293,352.131
1550,509.338
1551,434.633
2110,469.749
2112,454.613
2320,482.268
1666,422.713
1819,425.643
1958,370.353
2280,342.714
