Node,SIR
2048,359.851
1843,402.077
1889,451.731
1891,391.395
2049,162.141
2050,203.092
2147,101.862
2108,442.815
2051,416.618
1777,441.507
1946,356.494
1754,342.862
1864,340.107
2154,456.212
2207,487.485
2053,173.954
2125,400.124
2054,185.971
2279,397.67
2055,434.691
1606,484.051
1873,435.544
2072,441.284
2242,273.781
2056,464.237
1552,454.331
1637,468.442
1912,407.564
1961,459.123
2021,450.942
2309,447.31
2322,409.584
2057,438.962
1783,417.667
2014,438.451
2028,453.992
2349,457.695
1962,438.004
2146,442.59
2058,242.692
1610,207.959
2008,412.748
1887,172.302
2059,280.572
2060,292.252
2284,453.471
2061,381.657
2149,321.868
2157,421.325
2111,379.813
2083,431.979
2062,164.65
2343,373.962
2063,270.358
2261,240.432
2065,345.055
1616,214.728
1617,199.587
1618,327.633
1620,215.654
1699,438.996
1911,210.465
1959,307.408
1964,239.274
1972,317.84
2066,215.5
2223,466.606
2067,54.583
1817,113.758
2068,359.046
1635,163.178
1655,296.559
1764,427.928
1765,385.246
1766,321.502
1872,288.09
2069,459.095
1674,326.856
1773,481.842
1774,452.419
1842,347.171
2127,388.067
2308,463.218
2070,300.152
1788,440.053
2071,342.655
1571,362.039
1609,349.956
1658,320.925
1997,287.929
1998,285.977
2176,342.16
2325,156.406
1688,195.371
1779,462.133
2030,438.627
2031,422.67
2032,479.453
2073,201.679
2074,194.735
2075,350.652
1970,368.478
2038,361.775
2076,282.035
2080,441.463
2077,392.809
1793,411.558
1807,294.577
1559,437.517
2330,415.0
1708,422.283
2078,297.373
1652,271.223
1653,299.969
1575,308.247
1561,341.795
2079,417.237
1953,397.545
1955,411.485
2212,266.158
1993,443.405
1650,412.784
1847,336.444
2027,405.251
2213,428.677
2214,407.871
2081,396.264
1980,248.609
1985,489.168
2082,238.51
2192,276.498
1580,111.578
1682,381.231
1686,192.114
2086,425.887
2219,439.021
2336,353.118
2084,435.143
1605,473.471
1685,460.548
2085,467.727
2105,484.276
1762,385.565
2299,408.53
1611,456.48
2090,365.862
2087,285.784
1662,338.873
2088,237.193
1599,365.97
2089,156.63
2091,446.18
2141,374.46
1821,464.037
2092,360.916
2208,487.895
1810,488.125
2096,346.652
2282,192.301
2093,280.146
2338,344.497
2094,382.12
1633,423.875
1702,299.359
1703,424.653
2095,389.887
1631,429.78
2097,204.014
2329,440.47
2098,392.756
1626,176.132
1627,320.724
1914,305.138
