Node,SIR
770,270.784
1500,268.818
986,274.071
862,283.849
1417,335.524
771,278.747
1330,161.623
1494,226.802
1056,326.207
1070,237.238
1177,197.874
772,229.121
1199,288.611
1200,298.895
875,308.138
774,146.012
1316,106.044
1214,111.5
788,147.157
923,184.421
775,158.146
1060,153.573
1092,109.712
1084,112.015
886,82.457
1161,64.543
1183,134.417
1185,139.896
776,237.532
1315,300.922
1246,344.459
1244,171.9
1245,197.072
1468,97.202
777,303.374
1521,281.484
853,306.85
992,348.596
778,163.799
1486,223.305
1490,255.812
1340,79.75
1151,211.085
779,115.655
944,59.26
1227,116.854
1375,182.74
780,245.452
950,145.775
1531,250.298
859,203.935
869,173.598
795,166.86
860,201.993
1478,228.834
782,130.258
1189,326.348
783,105.763
1400,267.428
785,247.978
1520,230.242
1107,294.654
786,290.442
1517,286.551
792,325.912
1062,300.756
1312,340.68
1121,243.411
787,273.149
1547,157.593
1041,213.577
1482,285.21
1257,194.696
1037,294.796
1138,295.415
998,308.274
789,265.571
868,364.754
790,291.723
896,302.436
799,334.912
887,183.035
1474,282.401
791,207.874
904,171.069
892,236.37
1388,257.754
793,145.998
1281,239.071
1011,243.48
821,298.029
1076,357.374
796,61.67
797,308.247
1467,128.102
1114,341.054
1435,301.705
1537,306.815
1538,249.916
798,268.04
1117,283.955
1223,207.491
1431,317.137
1440,202.043
1533,241.626
800,305.389
1434,209.351
1002,320.246
1454,346.152
1046,267.369
1069,227.901
1421,233.633
801,205.579
1267,310.887
1306,229.751
1393,181.442
1456,85.675
802,292.917
1048,290.593
1443,310.475
805,297.623
1510,303.159
813,295.813
803,249.513
1469,328.567
1492,293.552
1455,332.202
804,194.914
1528,230.715
1085,121.371
1447,258.877
838,234.716
812,277.522
806,295.659
1144,299.318
1415,228.598
1050,290.013
807,175.86
1369,133.852
1323,299.315
1342,137.624
1343,91.871
1370,113.942
808,102.39
885,44.146
960,123.895
912,174.393
809,310.14
1012,317.577
1014,325.568
1320,314.673
810,256.263
1451,228.54
811,201.906
1113,267.115
1169,289.105
1389,368.371
814,327.388
1390,341.575
956,335.322
1328,340.472
1374,328.603
1250,333.4
815,2.235
1252,2.33
1385,2.183
816,295.246
914,220.024
1111,191.258
1198,276.235
1276,319.984
1491,294.731
817,115.686
1496,312.01
818,74.906
819,36.818
1241,103.567
1295,102.963
820,323.84
953,299.266
898,261.883
901,196.706
952,225.074
954,329.864
1196,226.055
1381,348.477
822,88.551
1460,226.065
823,81.025
827,101.402
1513,122.731
824,282.884
889,169.615
891,287.719
990,265.741
1348,226.76
825,142.874
1039,249.761
1029,190.297
826,145.247
1034,99.479
1028,75.022
828,48.74
1403,129.876
830,292.797
831,301.507
1465,291.729
1042,291.359
1351,327.836
832,123.433
899,96.258
900,174.347
933,142.826
833,136.017
834,105.643
881,114.436
835,103.888
1472,287.077
836,1.392
840,1.434
837,162.269
843,128.1
1141,347.359
851,222.402
1258,201.715
839,123.916
1268,293.745
842,175.257
1384,173.64
844,264.511
1414,307.373
1150,274.748
856,175.538
1356,258.489
1272,227.489
845,24.02
1192,63.27
846,307.137
847,313.808
985,281.745
1523,305.242
848,302.03
1108,304.443
1098,301.82
967,304.287
1201,295.215
1519,186.594
1202,291.125
849,89.992
850,93.182
1193,95.153
855,186.046
1349,221.957
852,260.116
1099,168.403
1446,286.879
911,264.657
1331,241.876
984,241.465
1333,228.742
1352,132.352
1359,122.063
1408,122.737
854,194.309
1357,198.238
1197,245.517
1194,287.963
1254,280.719
1271,75.554
1123,106.798
857,210.585
858,204.503
1353,208.699
1405,239.009
1354,184.202
1364,215.625
861,229.659
1253,273.352
1418,224.269
1280,249.101
863,321.615
940,219.049
1296,139.321
941,303.903
957,282.262
973,281.414
1126,304.94
864,244.772
865,207.843
1057,210.246
907,326.93
1302,280.19
1067,127.637
879,149.44
895,166.21
1459,240.57
866,189.443
1505,152.966
1424,357.447
1233,170.568
867,157.116
1100,190.3
959,142.645
965,238.463
1539,100.045
1404,353.222
945,273.564
1074,341.649
1075,358.628
1206,342.191
1426,268.593
1428,363.992
1458,324.279
1104,185.822
1282,148.833
870,161.588
942,219.483
951,169.143
873,181.011
871,177.4
948,148.013
935,100.14
1175,228.753
872,162.435
1526,132.65
1135,97.492
1265,156.735
1122,131.347
1105,187.234
874,179.289
968,201.324
969,169.434
1152,126.085
1336,227.422
876,83.776
1234,110.89
1204,100.019
972,82.768
877,40.843
878,123.3
883,135.708
1395,241.502
880,51.758
1396,52.458
929,48.932
1156,46.893
1437,117.595
882,206.12
1131,235.174
1089,182.419
884,144.697
1382,105.957
1398,114.193
1392,175.17
1326,131.474
1153,60.983
1423,171.607
1017,233.187
1347,64.557
890,165.165
1525,291.024
1129,239.966
937,237.994
1425,141.451
928,168.421
893,257.101
1073,285.434
1483,327.282
1115,141.282
1457,229.155
1256,309.994
1479,310.714
1035,274.229
925,95.166
1022,157.109
1025,141.928
906,153.919
938,115.59
1018,182.029
955,128.71
1499,238.7
902,187.231
903,174.355
1093,67.46
905,191.961
1225,162.785
1532,209.63
1077,169.011
1251,331.702
908,300.821
1529,272.28
1266,294.949
1345,178.918
909,146.438
1079,189.082
1264,153.109
1143,69.953
1344,141.467
910,118.62
1061,315.894
1286,52.204
1000,245.418
1001,248.215
913,117.802
1080,95.205
1407,84.817
1462,93.27
1283,90.124
1137,226.976
915,116.418
916,146.347
988,137.078
989,149.075
1255,204.923
917,73.399
1373,167.29
918,119.212
1072,94.049
919,57.07
1476,148.463
920,55.905
1232,91.537
921,101.572
1361,220.947
1205,49.376
922,166.205
1043,201.007
924,218.79
1470,231.595
1484,250.92
926,44.999
927,134.668
931,210.516
934,193.801
930,51.319
1086,143.304
1394,182.011
980,141.294
932,179.547
1087,137.006
936,47.974
978,295.854
1501,348.892
947,104.934
943,171.583
1149,280.063
1416,287.661
946,83.6
1514,199.004
1259,84.078
1260,98.296
1543,101.767
949,38.489
1439,129.637
1178,91.582
1277,348.799
1489,300.704
1383,164.404
958,77.412
1167,135.645
1040,86.199
1341,182.956
1319,265.705
961,303.278
1102,320.212
1103,196.446
1475,307.315
962,255.132
1171,279.882
1321,301.172
963,222.068
1213,324.316
964,163.247
1165,184.754
1327,118.084
1101,268.294
966,301.452
1285,316.095
1371,301.616
1325,304.881
1401,307.689
1038,299.917
1124,292.564
1355,282.444
1106,304.185
970,207.323
971,189.685
974,124.939
977,281.859
1119,121.747
975,97.755
1504,211.714
1503,60.836
1309,316.892
1294,110.357
1310,199.099
1007,195.327
979,108.001
1055,272.881
1334,224.111
981,45.35
982,170.177
1413,257.271
983,142.91
1139,336.321
1429,345.089
1163,203.144
1242,103.261
1444,120.358
1016,159.744
991,327.1
1495,337.671
1497,344.468
1005,241.351
1006,333.619
1128,214.367
1172,219.932
1270,250.508
1487,275.191
1488,330.325
993,90.51
1406,68.737
1278,178.157
994,80.186
1346,192.227
996,192.631
1091,132.985
997,238.214
1452,321.517
999,361.203
1154,320.388
1003,128.945
1159,175.787
1015,210.245
1329,116.09
1004,117.889
1231,95.912
1512,76.73
1195,230.774
1318,292.698
1174,178.012
1008,247.728
1324,188.798
1009,241.513
1047,195.831
1420,172.289
1436,137.264
1010,231.996
1508,287.72
1509,105.387
1422,322.046
1368,69.024
1019,237.128
1190,284.377
1020,177.644
1130,194.727
1261,179.248
1262,202.025
1493,204.268
1021,69.475
1289,195.921
1269,197.989
1023,117.496
1024,173.543
1332,202.792
1304,184.051
1308,196.211
1464,132.652
1026,19.474
1027,123.525
1546,46.486
1209,47.759
1031,258.834
1030,90.723
1238,99.58
1032,32.441
1033,49.718
1399,17.027
1134,280.465
1036,212.877
1237,187.05
1481,210.111
1249,156.349
1471,190.457
1292,237.0
1522,171.187
1044,133.778
1506,113.467
1045,179.483
1365,171.095
1366,180.471
1441,258.9
1051,344.532
1155,359.484
1052,357.626
1054,359.991
1140,333.022
1157,227.091
1430,328.304
1053,332.58
1058,51.276
1059,88.66
1544,68.207
1219,306.926
1453,271.618
1297,284.193
1063,53.687
1064,227.648
1350,220.757
1065,83.878
1066,141.379
1358,128.714
1411,164.817
1409,149.122
1068,52.438
1419,181.471
1071,159.894
1279,172.708
1530,151.824
1081,1.788
1299,1.547
1303,1.52
1082,77.135
1284,50.179
1088,55.223
1090,113.43
1542,105.434
1173,167.291
1338,151.305
1147,184.04
1094,140.091
1095,27.74
1096,29.521
1097,127.188
1239,173.634
1427,71.11
1301,231.444
1432,287.721
1125,109.748
1118,292.961
1466,252.691
1534,239.478
1116,186.749
1120,178.54
1273,149.683
1136,238.925
1127,267.661
1236,258.02
1132,186.616
1133,83.496
1477,237.935
1142,217.552
1145,195.943
1146,76.085
1148,37.409
1179,89.641
1158,101.355
1160,17.757
1162,41.815
1164,128.898
1166,82.858
1248,120.956
1210,61.64
1212,58.313
1317,157.978
1378,50.872
1168,5.994
1235,2.046
1207,11.75
1170,40.352
1181,92.631
1211,145.585
1448,147.799
1524,178.275
1180,41.773
1182,127.761
1184,117.051
1187,120.189
1186,154.211
1339,192.249
1518,165.758
1188,1.402
1516,1.389
1191,168.65
1263,208.789
1291,35.115
1288,217.851
1298,238.507
1527,262.701
1208,25.798
1449,150.206
1215,91.307
1216,100.371
1412,102.504
1217,93.138
1218,151.516
1220,265.776
1360,288.412
1221,209.432
1222,198.847
1226,39.539
1287,86.618
1228,206.13
1230,106.944
1229,32.659
1536,69.082
1313,97.253
1507,92.678
1240,166.085
1243,87.123
1247,163.082
1386,1.812
1290,216.946
1275,236.711
1372,217.276
1274,103.979
1337,90.583
1293,98.255
1300,45.439
1305,83.095
1307,149.245
1363,254.254
1362,259.102
1379,170.248
1314,180.058
1322,219.991
1502,201.071
1410,94.533
1335,137.085
1376,103.345
1463,97.571
1480,201.406
1367,210.509
1473,196.731
1377,182.844
1380,1.418
1461,1.409
1387,48.843
1498,244.328
1391,234.827
1545,120.152
1402,118.74
1515,88.125
1433,221.734
1438,113.828
1535,54.523
1450,132.712
1442,154.572
1511,195.504
1445,120.674
1485,248.114
1540,62.226
1541,18.933
