Timestep,KendallTau,MAP,a
7,0.8406171888919012,0.5907980023324925,1.0
8,0.8069499043267094,0.44571092332703377,1.0
9,0.8322895998586575,0.5156000976456641,1.0
7,0.8509365323311389,0.5996232952937822,1.1
9,0.8331593315133867,0.5099783585715059,1.1
8,0.82014745654085,0.4259016809843951,1.1
8,0.8206027192307102,0.37871975315880757,1.2
7,0.8561886900956377,0.6528868063282102,1.2
9,0.8370346126843576,0.4971914941577717,1.2
7,0.8565862330316684,0.6026954047472669,1.3
9,0.8430669870760638,0.5371046743284313,1.3
8,0.8282694338869155,0.3770920323829848,1.3
9,0.846184338590039,0.5034282730359013,1.4
7,0.8602755218651784,0.5874392399582435,1.4
8,0.839700190829704,0.4374793549553124,1.4
8,0.8403575607853655,0.398241143344377,1.5
7,0.8616011207618884,0.5594318708957908,1.5
9,0.8499081537754526,0.5070885067093205,1.5
7,0.8603502489123966,0.6061765276847535,1.6
8,0.8415019797613178,0.3835203400253885,1.6
9,0.8530020777035099,0.49899988471986567,1.6
7,0.8605985669164677,0.6061645552620596,1.7
8,0.8394762510602137,0.384205928900965,1.7
9,0.8526819961831388,0.5044514398174662,1.7
7,0.8595160895406586,0.5469479773257089,1.8
8,0.8427444305701064,0.39511038342085214,1.8
9,0.8518472542184613,0.5255637110806635,1.8
7,0.8570540485805487,0.5105523764890945,1.9
8,0.8420862961057531,0.3950309472389001,1.9
9,0.8487024887134395,0.5070011063783554,1.9
