Timestep,KendallTau,MAP,a
7,0.8210098278477875,0.348155125373541,1.0
8,0.7865290623495368,0.24645497491915175,1.0
9,0.658840100535055,0.1646713638669436,1.0
7,0.8083486840723302,0.2814914958117857,1.1
9,0.6605259666184233,0.18411227378331305,1.1
8,0.778319716052224,0.24183145951236024,1.1
8,0.7775948396921549,0.23026339877598284,1.2
7,0.8202963836937451,0.33024999072864425,1.2
9,0.6733464449435461,0.18507209931010934,1.2
7,0.8154398086925009,0.3016776587378036,1.3
9,0.6527022397107622,0.17625575707770139,1.3
8,0.7780064995823237,0.23026339877598284,1.3
9,0.675777041932626,0.1937407776069672,1.4
7,0.8276848839128016,0.348155125373541,1.4
8,0.7802257336517227,0.24901574624644818,1.4
8,0.7777738305399325,0.24450420643879234,1.5
7,0.8272874191911447,0.348155125373541,1.5
9,0.6527132501145165,0.1742338576681007,1.5
7,0.8304910875759446,0.37472086896946827,1.6
8,0.7601976732688083,0.21658680906307543,1.6
9,0.6777902886454371,0.192719229730456,1.6
7,0.8233441133861573,0.3428017109124158,1.7
8,0.7481903163757186,0.2052246904144686,1.7
9,0.6501474841647527,0.16064526460087397,1.7
7,0.8174943454285089,0.34189449708041064,1.8
8,0.7730176225297739,0.2523248517725499,1.8
9,0.6718654472266935,0.17020056482998092,1.8
7,0.8257031561882561,0.350740889568105,1.9
8,0.7356995120408635,0.2138999505649514,1.9
9,0.6867666747203665,0.18976678457759086,1.9
